series,sn_num,temperature,temp_value,n_pt,n_sn,total_atoms,q6,q6_std,pt_q6,sn_q6,pt_cn_total,pt_pt_bonds_per_pt,pt_sn_bonds_per_pt,sn_cn_total,sn_sn_bonds_per_sn,sn_pt_bonds_per_sn,rg,d_sn_pt,n_runs
Pt8Snx,7,600K,600,8.0,7.0,15.0,0.20717390770193433,0.0458402684649694,0.0,0.0,4.41496432168695,0.2954081141258921,0.2564624260849767,2.9692906010134346,0.08921303954399049,0.3349713320293573,3.3401416864374225,1.3004536290134658,10
Pt8Snx,7,700K,700,8.0,7.0,15.0,0.26237216496134297,0.06003334154951946,0.0,0.0,4.113054344012016,0.2754136845548795,0.23871810844662247,2.70996284428068,0.07534246876287591,0.3117950804200783,3.586369822930178,1.3844682671946438,10
Pt8Snx,7,800K,800,8.0,7.0,15.0,0.22176703350777993,0.0597188567375041,0.0,0.0,4.1093681736380105,0.26819241822254913,0.2454786034822022,2.8442663609321968,0.08569865109519256,0.32062511475226413,3.5341198818469435,1.2507933687614394,10
Pt8Snx,7,900K,900,8.0,7.0,15.0,0.21443097388528548,0.05873769871935802,0.0,0.0,3.9580879265236972,0.2560067747997296,0.23875421601573255,2.7565579676395653,0.08195175405040969,0.3118422413266711,3.6390922098552885,1.2129853197700307,10
Pt8Snx,7,1000K,1000,8.0,7.0,15.0,0.19468627467809405,0.05548429747561073,0.0,0.0,3.99384600085002,0.25599210933733413,0.24323864076891838,2.838664286135622,0.0878240202803791,0.31769944916756687,3.577491065708709,1.1747099809190948,10
Pt8Snx,7,1100K,1100,8.0,7.0,15.0,0.2040746041571883,0.05911339327343572,0.0,0.0,3.613594294414137,0.22661472738700433,0.2250845594147627,2.634650351390923,0.08239062565697239,0.2939879959703023,4.208327526564874,1.001094379731906,10
Pt8Snx,8,200K,200,8.0,8.0,16.0,0.22256555040392595,0.014824875743511459,0.0,0.0,4.578167724632869,0.18677214497485675,0.3854988206042518,4.747537241032421,0.20794333452480088,0.38549882060425184,2.9837908153805652,0.315040121024717,7
Pt8Snx,8,300K,300,8.0,8.0,16.0,0.2167178410664877,0.018264165795763183,0.0,0.0,4.560765598319586,0.18669834337376337,0.38339735641618483,4.71594999771938,0.2060963932987378,0.38339735641618483,2.989358907386202,0.3212964394745832,10
Pt8Snx,8,400K,400,8.0,8.0,16.0,0.2120625217996465,0.021935367947584127,0.0,0.0,4.54380816292834,0.18673106866471784,0.38124495170132466,4.684022980109895,0.20425792081241223,0.38124495170132466,2.9950100956021233,0.32770958457164245,10
Pt8Snx,8,500K,500,8.0,8.0,16.0,0.1492601459397212,0.03332589540580129,0.0,0.0,4.766037245537152,0.27611386254126546,0.3196407931508787,3.5211977970461787,0.12050893147989372,0.3196407931508786,3.212349588297677,1.0238815559526895,10
Pt8Snx,8,600K,600,8.0,8.0,16.0,0.18640380047340346,0.03776605070676718,0.0,0.0,4.705711911179023,0.2553791304701026,0.33283485842727534,3.8469648395088085,0.14803574651132573,0.33283485842727534,3.1348714148693206,0.8678160647094912,10
Pt8Snx,8,700K,700,8.0,8.0,16.0,0.15684943105655647,0.040719848875160544,0.0,0.0,4.784954026248775,0.2956822024598012,0.3024370508212956,3.306838758880648,0.11091779403878528,0.3024370508212956,3.2552187588815604,1.1972142734866258,10
Pt8Snx,8,800K,800,8.0,8.0,16.0,0.15429131033213464,0.04000649467855104,0.0,0.0,4.661358710046771,0.288592756373454,0.29407708238239233,3.2275238576729586,0.10936339982672756,0.29407708238239233,3.3157983254385046,1.2281852913574063,10
Pt8Snx,8,900K,900,8.0,8.0,16.0,0.150849765205146,0.040102135823937325,0.0,0.0,4.488674249457623,0.2642705614300874,0.29681371975211557,3.2949217768695553,0.11505150235657893,0.29681371975211557,3.3732750000755387,1.0803828216438895,10
Pt8Snx,8,1000K,1000,8.0,8.0,16.0,0.15082574267466975,0.04041425447428078,0.0,0.0,4.417613233072553,0.26157638873048217,0.29062526540358696,3.245791704614311,0.11509869767320187,0.29062526540358696,3.427905567686699,1.0782647558670004,10
